2025-04-15 20:21:02,031 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['deviation'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkTrue', visual_dir='./visual/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-15 20:21:02,032 - INFO - 当前评分模式: ['deviation']
2025-04-15 20:21:02,032 - INFO - 
==================================================
2025-04-15 20:21:02,032 - INFO - 开始执行网格搜索...
2025-04-15 20:21:02,033 - INFO - [omi-1] Starting grid search...
2025-04-15 20:21:05,137 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=1.0, use_topk=True, P=0.7477, R=0.8989, F1=0.8163
2025-04-15 20:21:24,998 - INFO - [omi-1.txt] mode=deviation, top_k=4, threshold=2.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:25,082 - INFO - [omi-1.txt] mode=deviation, top_k=4, threshold=3.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:26,831 - INFO - [omi-1.txt] mode=deviation, top_k=4, threshold=3.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:26,895 - INFO - [omi-1.txt] mode=deviation, top_k=4, threshold=4.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:26,982 - INFO - [omi-1.txt] mode=deviation, top_k=4, threshold=4.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:27,135 - INFO - [omi-1.txt] mode=deviation, top_k=4, threshold=5.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:28,785 - INFO - [omi-1.txt] mode=deviation, top_k=4, threshold=5.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:28,859 - INFO - [omi-1.txt] mode=deviation, top_k=4, threshold=6.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:28,958 - INFO - [omi-1.txt] mode=deviation, top_k=4, threshold=6.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:29,076 - INFO - [omi-1.txt] mode=deviation, top_k=4, threshold=7.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:30,830 - INFO - [omi-1.txt] mode=deviation, top_k=5, threshold=1.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:30,959 - INFO - [omi-1.txt] mode=deviation, top_k=5, threshold=1.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:31,025 - INFO - [omi-1.txt] mode=deviation, top_k=5, threshold=2.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:31,050 - INFO - [omi-1.txt] mode=deviation, top_k=5, threshold=2.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:32,859 - INFO - [omi-1.txt] mode=deviation, top_k=5, threshold=3.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:32,996 - INFO - [omi-1.txt] mode=deviation, top_k=5, threshold=3.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:33,110 - INFO - [omi-1.txt] mode=deviation, top_k=5, threshold=4.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:33,111 - INFO - [omi-1.txt] mode=deviation, top_k=5, threshold=4.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:34,863 - INFO - [omi-1.txt] mode=deviation, top_k=5, threshold=5.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:35,025 - INFO - [omi-1.txt] mode=deviation, top_k=5, threshold=5.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:35,097 - INFO - [omi-1.txt] mode=deviation, top_k=5, threshold=6.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:35,097 - INFO - [omi-1.txt] mode=deviation, top_k=5, threshold=6.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:36,854 - INFO - [omi-1.txt] mode=deviation, top_k=5, threshold=7.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:37,022 - INFO - [omi-1.txt] mode=deviation, top_k=6, threshold=1.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:37,050 - INFO - [omi-1.txt] mode=deviation, top_k=6, threshold=1.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:37,122 - INFO - [omi-1.txt] mode=deviation, top_k=6, threshold=2.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:38,887 - INFO - [omi-1.txt] mode=deviation, top_k=6, threshold=2.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:39,013 - INFO - [omi-1.txt] mode=deviation, top_k=6, threshold=3.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:39,070 - INFO - [omi-1.txt] mode=deviation, top_k=6, threshold=3.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:39,211 - INFO - [omi-1.txt] mode=deviation, top_k=6, threshold=4.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:40,895 - INFO - [omi-1.txt] mode=deviation, top_k=6, threshold=4.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:41,042 - INFO - [omi-1.txt] mode=deviation, top_k=6, threshold=5.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:41,060 - INFO - [omi-1.txt] mode=deviation, top_k=6, threshold=5.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:41,152 - INFO - [omi-1.txt] mode=deviation, top_k=6, threshold=6.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:42,927 - INFO - [omi-1.txt] mode=deviation, top_k=6, threshold=6.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:43,012 - INFO - [omi-1.txt] mode=deviation, top_k=6, threshold=7.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:43,140 - INFO - [omi-1.txt] mode=deviation, top_k=7, threshold=1.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:43,208 - INFO - [omi-1.txt] mode=deviation, top_k=7, threshold=1.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:44,976 - INFO - [omi-1.txt] mode=deviation, top_k=7, threshold=2.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:45,033 - INFO - [omi-1.txt] mode=deviation, top_k=7, threshold=2.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:45,209 - INFO - [omi-1.txt] mode=deviation, top_k=7, threshold=3.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:45,253 - INFO - [omi-1.txt] mode=deviation, top_k=7, threshold=3.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:46,956 - INFO - [omi-1.txt] mode=deviation, top_k=7, threshold=4.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:47,108 - INFO - [omi-1.txt] mode=deviation, top_k=7, threshold=4.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:47,263 - INFO - [omi-1.txt] mode=deviation, top_k=7, threshold=5.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:47,315 - INFO - [omi-1.txt] mode=deviation, top_k=7, threshold=5.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:49,008 - INFO - [omi-1.txt] mode=deviation, top_k=7, threshold=6.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:49,093 - INFO - [omi-1.txt] mode=deviation, top_k=7, threshold=6.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:49,294 - INFO - [omi-1.txt] mode=deviation, top_k=7, threshold=7.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:49,311 - INFO - [omi-1.txt] mode=deviation, top_k=8, threshold=1.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:51,010 - INFO - [omi-1.txt] mode=deviation, top_k=8, threshold=1.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:51,146 - INFO - [omi-1.txt] mode=deviation, top_k=8, threshold=2.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:51,306 - INFO - [omi-1.txt] mode=deviation, top_k=8, threshold=2.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:51,347 - INFO - [omi-1.txt] mode=deviation, top_k=8, threshold=3.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:53,088 - INFO - [omi-1.txt] mode=deviation, top_k=8, threshold=3.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:53,286 - INFO - [omi-1.txt] mode=deviation, top_k=8, threshold=4.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:53,331 - INFO - [omi-1.txt] mode=deviation, top_k=8, threshold=4.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:53,494 - INFO - [omi-1.txt] mode=deviation, top_k=8, threshold=5.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:55,145 - INFO - [omi-1.txt] mode=deviation, top_k=8, threshold=5.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:55,279 - INFO - [omi-1.txt] mode=deviation, top_k=8, threshold=6.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:55,379 - INFO - [omi-1.txt] mode=deviation, top_k=8, threshold=6.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:55,525 - INFO - [omi-1.txt] mode=deviation, top_k=8, threshold=7.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:57,196 - INFO - [omi-1.txt] mode=deviation, top_k=9, threshold=1.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:57,382 - INFO - [omi-1.txt] mode=deviation, top_k=9, threshold=1.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:57,509 - INFO - [omi-1.txt] mode=deviation, top_k=9, threshold=2.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:57,701 - INFO - [omi-1.txt] mode=deviation, top_k=9, threshold=2.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:59,292 - INFO - [omi-1.txt] mode=deviation, top_k=9, threshold=3.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:59,488 - INFO - [omi-1.txt] mode=deviation, top_k=9, threshold=3.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:59,586 - INFO - [omi-1.txt] mode=deviation, top_k=9, threshold=4.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:21:59,794 - INFO - [omi-1.txt] mode=deviation, top_k=9, threshold=4.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:22:01,371 - INFO - [omi-1.txt] mode=deviation, top_k=9, threshold=5.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:22:01,507 - INFO - [omi-1.txt] mode=deviation, top_k=9, threshold=5.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:22:01,656 - INFO - [omi-1.txt] mode=deviation, top_k=9, threshold=6.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:22:01,846 - INFO - [omi-1.txt] mode=deviation, top_k=9, threshold=6.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:22:03,242 - INFO - [omi-1.txt] mode=deviation, top_k=9, threshold=7.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-15 20:22:03,256 - INFO - [omi-10] Starting grid search...
2025-04-15 20:22:06,362 - INFO - [omi-10.txt] mode=deviation, top_k=1, threshold=1.0, use_topk=True, P=0.4511, R=0.9836, F1=0.6186
2025-04-15 20:22:06,399 - INFO - [omi-10.txt] mode=deviation, top_k=1, threshold=1.5, use_topk=True, P=0.4580, R=0.9836, F1=0.6250
2025-04-15 20:22:06,399 - INFO - [omi-10.txt] mode=deviation, top_k=1, threshold=2.0, use_topk=True, P=0.4615, R=0.9836, F1=0.6283
2025-04-15 20:22:06,450 - INFO - [omi-10.txt] mode=deviation, top_k=1, threshold=2.5, use_topk=True, P=0.4615, R=0.9836, F1=0.6283
2025-04-15 20:22:08,384 - INFO - [omi-10.txt] mode=deviation, top_k=1, threshold=3.0, use_topk=True, P=0.4646, R=0.9672, F1=0.6277
2025-04-15 20:22:08,422 - INFO - [omi-10.txt] mode=deviation, top_k=1, threshold=3.5, use_topk=True, P=0.4797, R=0.9672, F1=0.6413
2025-04-15 20:22:08,472 - INFO - [omi-10.txt] mode=deviation, top_k=1, threshold=4.0, use_topk=True, P=0.4876, R=0.9672, F1=0.6484
2025-04-15 20:22:08,543 - INFO - [omi-10.txt] mode=deviation, top_k=1, threshold=4.5, use_topk=True, P=0.4917, R=0.9672, F1=0.6519
2025-04-15 20:22:10,337 - INFO - [omi-10.txt] mode=deviation, top_k=1, threshold=5.0, use_topk=True, P=0.5000, R=0.9672, F1=0.6592
2025-04-15 20:22:10,470 - INFO - [omi-10.txt] mode=deviation, top_k=1, threshold=5.5, use_topk=True, P=0.5043, R=0.9672, F1=0.6629
2025-04-15 20:22:10,527 - INFO - [omi-10.txt] mode=deviation, top_k=1, threshold=6.0, use_topk=True, P=0.5043, R=0.9672, F1=0.6629
2025-04-15 20:22:10,585 - INFO - [omi-10.txt] mode=deviation, top_k=1, threshold=6.5, use_topk=True, P=0.5043, R=0.9672, F1=0.6629
2025-04-15 20:22:12,399 - INFO - [omi-10.txt] mode=deviation, top_k=1, threshold=7.0, use_topk=True, P=0.5043, R=0.9672, F1=0.6629
2025-04-15 20:22:12,498 - INFO - [omi-10.txt] mode=deviation, top_k=2, threshold=1.0, use_topk=True, P=0.4478, R=0.9836, F1=0.6154
2025-04-15 20:22:12,569 - INFO - [omi-10.txt] mode=deviation, top_k=2, threshold=1.5, use_topk=True, P=0.4478, R=0.9836, F1=0.6154
2025-04-15 20:22:12,636 - INFO - [omi-10.txt] mode=deviation, top_k=2, threshold=2.0, use_topk=True, P=0.4511, R=0.9836, F1=0.6186
2025-04-15 20:22:14,417 - INFO - [omi-10.txt] mode=deviation, top_k=2, threshold=2.5, use_topk=True, P=0.4545, R=0.9836, F1=0.6218
2025-04-15 20:22:14,587 - INFO - [omi-10.txt] mode=deviation, top_k=2, threshold=3.0, use_topk=True, P=0.4545, R=0.9836, F1=0.6218
2025-04-15 20:22:14,634 - INFO - [omi-10.txt] mode=deviation, top_k=2, threshold=3.5, use_topk=True, P=0.4615, R=0.9836, F1=0.6283
2025-04-15 20:22:14,699 - INFO - [omi-10.txt] mode=deviation, top_k=2, threshold=4.0, use_topk=True, P=0.4646, R=0.9672, F1=0.6277
2025-04-15 20:22:16,444 - INFO - [omi-10.txt] mode=deviation, top_k=2, threshold=4.5, use_topk=True, P=0.4683, R=0.9672, F1=0.6310
2025-04-15 20:22:16,716 - INFO - [omi-10.txt] mode=deviation, top_k=2, threshold=5.0, use_topk=True, P=0.4758, R=0.9672, F1=0.6378
2025-04-15 20:22:16,736 - INFO - [omi-10.txt] mode=deviation, top_k=2, threshold=5.5, use_topk=True, P=0.4797, R=0.9672, F1=0.6413
2025-04-15 20:22:16,736 - INFO - [omi-10.txt] mode=deviation, top_k=2, threshold=6.0, use_topk=True, P=0.4917, R=0.9672, F1=0.6519
2025-04-15 20:22:18,478 - INFO - [omi-10.txt] mode=deviation, top_k=2, threshold=6.5, use_topk=True, P=0.5000, R=0.9672, F1=0.6592
2025-04-15 20:22:18,870 - INFO - [omi-10.txt] mode=deviation, top_k=2, threshold=7.0, use_topk=True, P=0.5000, R=0.9672, F1=0.6592
2025-04-15 20:22:18,871 - INFO - [omi-10.txt] mode=deviation, top_k=3, threshold=1.0, use_topk=True, P=0.4478, R=0.9836, F1=0.6154
2025-04-15 20:22:18,871 - INFO - [omi-10.txt] mode=deviation, top_k=3, threshold=1.5, use_topk=True, P=0.4478, R=0.9836, F1=0.6154
2025-04-15 20:22:20,554 - INFO - [omi-10.txt] mode=deviation, top_k=3, threshold=2.0, use_topk=True, P=0.4478, R=0.9836, F1=0.6154
2025-04-15 20:22:20,902 - INFO - [omi-10.txt] mode=deviation, top_k=3, threshold=2.5, use_topk=True, P=0.4511, R=0.9836, F1=0.6186
2025-04-15 20:22:20,903 - INFO - [omi-10.txt] mode=deviation, top_k=3, threshold=3.0, use_topk=True, P=0.4511, R=0.9836, F1=0.6186
2025-04-15 20:22:20,955 - INFO - [omi-10.txt] mode=deviation, top_k=3, threshold=3.5, use_topk=True, P=0.4545, R=0.9836, F1=0.6218
2025-04-15 20:22:22,596 - INFO - [omi-10.txt] mode=deviation, top_k=3, threshold=4.0, use_topk=True, P=0.4580, R=0.9836, F1=0.6250
2025-04-15 20:22:22,912 - INFO - [omi-10.txt] mode=deviation, top_k=3, threshold=4.5, use_topk=True, P=0.4615, R=0.9836, F1=0.6283
2025-04-15 20:22:22,954 - INFO - [omi-10.txt] mode=deviation, top_k=3, threshold=5.0, use_topk=True, P=0.4574, R=0.9672, F1=0.6211
2025-04-15 20:22:23,052 - INFO - [omi-10.txt] mode=deviation, top_k=3, threshold=5.5, use_topk=True, P=0.4574, R=0.9672, F1=0.6211
2025-04-15 20:22:24,583 - INFO - [omi-10.txt] mode=deviation, top_k=3, threshold=6.0, use_topk=True, P=0.4609, R=0.9672, F1=0.6243
2025-04-15 20:22:25,014 - INFO - [omi-10.txt] mode=deviation, top_k=3, threshold=6.5, use_topk=True, P=0.4758, R=0.9672, F1=0.6378
2025-04-15 20:22:25,015 - INFO - [omi-10.txt] mode=deviation, top_k=3, threshold=7.0, use_topk=True, P=0.4876, R=0.9672, F1=0.6484
2025-04-15 20:22:25,162 - INFO - [omi-10.txt] mode=deviation, top_k=4, threshold=1.0, use_topk=True, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 20:22:26,626 - INFO - [omi-10.txt] mode=deviation, top_k=4, threshold=1.5, use_topk=True, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 20:22:26,992 - INFO - [omi-10.txt] mode=deviation, top_k=4, threshold=2.0, use_topk=True, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 20:22:27,066 - INFO - [omi-10.txt] mode=deviation, top_k=4, threshold=2.5, use_topk=True, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 20:22:27,210 - INFO - [omi-10.txt] mode=deviation, top_k=4, threshold=3.0, use_topk=True, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 20:22:28,635 - INFO - [omi-10.txt] mode=deviation, top_k=4, threshold=3.5, use_topk=True, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 20:22:29,090 - INFO - [omi-10.txt] mode=deviation, top_k=4, threshold=4.0, use_topk=True, P=0.4444, R=0.9836, F1=0.6122
2025-04-15 20:22:29,115 - INFO - [omi-10.txt] mode=deviation, top_k=4, threshold=4.5, use_topk=True, P=0.4478, R=0.9836, F1=0.6154
2025-04-15 20:22:29,278 - INFO - [omi-10.txt] mode=deviation, top_k=4, threshold=5.0, use_topk=True, P=0.4545, R=0.9836, F1=0.6218
2025-04-15 20:22:30,674 - INFO - [omi-10.txt] mode=deviation, top_k=4, threshold=5.5, use_topk=True, P=0.4504, R=0.9672, F1=0.6146
