2025-05-07 11:27:26,970 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_corr_threshold', visual_dir='./visual/omi/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-05-07 11:27:26,971 - INFO - 当前评分模式: ['deviation']
2025-05-07 11:27:26,971 - INFO - 
==================================================
2025-05-07 11:27:26,971 - INFO - 开始执行网格搜索...
2025-05-07 11:27:26,972 - INFO - [omi-12] Starting grid search...
2025-05-07 11:27:30,142 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,217 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=5.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,218 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=5.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,218 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=6.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,218 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=6.5, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:32,383 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.0, threshold=7.0, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:32,384 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.1, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,385 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.1, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,385 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.1, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,385 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.1, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,385 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.1, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,385 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.1, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,385 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.1, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,644 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.1, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,645 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.1, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,652 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.1, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:32,674 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.1, threshold=5.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:33,049 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.1, threshold=5.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:33,049 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.1, threshold=6.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:33,050 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.1, threshold=6.5, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:33,050 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.1, threshold=7.0, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:33,050 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:33,050 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:33,051 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:33,051 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:33,188 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:33,189 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:33,811 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:33,811 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:34,536 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:34,537 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:34,537 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=5.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:34,537 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=5.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:34,537 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=6.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:34,655 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=6.5, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:34,901 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=7.0, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:35,587 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:35,902 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:35,903 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,239 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,239 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,279 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,295 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,295 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,295 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,442 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,449 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=5.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,449 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=5.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,449 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=6.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,449 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=6.5, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:37,449 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=7.0, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:37,450 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,450 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,450 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,450 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,450 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,450 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,451 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,451 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,451 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,911 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,911 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=5.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,912 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=5.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,912 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=6.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,912 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=6.5, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:37,912 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.2, threshold=7.0, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:37,913 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.3, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,913 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.3, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,913 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.3, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,913 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.3, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,913 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.3, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,913 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.3, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:37,913 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.3, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:39,155 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.3, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:39,156 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.3, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:39,157 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.3, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:39,157 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.3, threshold=5.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:39,157 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.3, threshold=5.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:39,157 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.3, threshold=6.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:39,157 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.3, threshold=6.5, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:40,676 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.3, threshold=7.0, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:40,676 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:40,677 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:40,677 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:40,677 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:40,678 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:40,678 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:40,678 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:40,678 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:40,678 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:40,678 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:40,678 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=5.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:40,678 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=5.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:40,678 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=6.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:41,760 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=6.5, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:41,761 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=7.0, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:42,024 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,025 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,026 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,026 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,026 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,381 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,394 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,394 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,535 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,536 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,536 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=5.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,536 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=5.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,536 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=6.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,536 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=6.5, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:42,536 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=7.0, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:42,536 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=0.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,537 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=0.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,537 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=1.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,537 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=1.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,538 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=2.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,538 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=2.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,538 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=3.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,538 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=3.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,538 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=4.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,538 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=4.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,538 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=5.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,701 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=5.5, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,701 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=6.0, P=0.6129, R=0.9500, F1=0.7451
2025-05-07 11:27:42,702 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=6.5, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:42,703 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.4, threshold=7.0, P=0.6230, R=0.9500, F1=0.7525
2025-05-07 11:27:42,703 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.5, threshold=0.0, P=0.6034, R=0.8750, F1=0.7143
2025-05-07 11:27:43,795 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.5, threshold=0.5, P=0.6034, R=0.8750, F1=0.7143
2025-05-07 11:27:43,795 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.5, threshold=1.0, P=0.6034, R=0.8750, F1=0.7143
2025-05-07 11:27:43,795 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.5, threshold=1.5, P=0.6034, R=0.8750, F1=0.7143
2025-05-07 11:27:43,796 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.5, threshold=2.0, P=0.6034, R=0.8750, F1=0.7143
2025-05-07 11:27:43,797 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.5, threshold=2.5, P=0.5965, R=0.8500, F1=0.7010
2025-05-07 11:27:43,797 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.5, threshold=3.0, P=0.5965, R=0.8500, F1=0.7010
2025-05-07 11:27:43,797 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.5, threshold=3.5, P=0.5965, R=0.8500, F1=0.7010
2025-05-07 11:27:43,797 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.5, threshold=4.0, P=0.6071, R=0.8500, F1=0.7083
2025-05-07 11:27:43,797 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.5, threshold=4.5, P=0.6071, R=0.8500, F1=0.7083
2025-05-07 11:27:44,794 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.5, threshold=5.0, P=0.6071, R=0.8500, F1=0.7083
2025-05-07 11:27:45,274 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.5, threshold=5.5, P=0.6000, R=0.8250, F1=0.6947
2025-05-07 11:27:45,274 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.5, threshold=6.0, P=0.6000, R=0.8250, F1=0.6947
2025-05-07 11:27:45,274 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.5, threshold=6.5, P=0.5926, R=0.8000, F1=0.6809
2025-05-07 11:27:45,275 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.5, threshold=7.0, P=0.5926, R=0.8000, F1=0.6809
2025-05-07 11:27:45,275 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.6, threshold=0.0, P=0.5882, R=0.7500, F1=0.6593
2025-05-07 11:27:45,275 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.6, threshold=0.5, P=0.5714, R=0.7000, F1=0.6292
2025-05-07 11:27:45,275 - INFO - [omi-12.txt] mode=deviation, corr_threshold=0.6, threshold=1.0, P=0.5435, R=0.6250, F1=0.5814
