2025-05-07 21:29:30,803 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='machine', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['mean_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/machine/neighbor_corr_threshold', visual_dir='./visual/machine/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-05-07 21:29:30,803 - INFO - 当前评分模式: ['mean_ratio']
2025-05-07 21:29:30,803 - INFO - 
==================================================
2025-05-07 21:29:30,803 - INFO - 开始执行网格搜索...
2025-05-07 21:29:30,809 - INFO - [machine-1-1] Starting grid search...
2025-05-07 21:30:31,963 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.0, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:35,826 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.0, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:35,826 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.0, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:35,826 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.0, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:35,826 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.1, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:35,826 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.1, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:35,826 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.1, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:35,830 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.1, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:35,830 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.1, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:35,831 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.1, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:56,083 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.1, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:57,142 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.1, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:58,454 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.1, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:58,455 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.1, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:58,455 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.1, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:58,455 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.1, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:30:59,818 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.1, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:00,964 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.1, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:04,655 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.1, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:04,655 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:05,779 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:05,780 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:06,263 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:08,293 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:08,938 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:08,939 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:10,940 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:11,494 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:11,494 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:11,495 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:12,510 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:12,573 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:12,573 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:13,130 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:13,130 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:14,031 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:15,026 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:16,182 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:16,183 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:16,183 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:16,353 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:16,353 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:16,354 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:16,474 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:18,082 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:19,695 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:39,554 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:40,405 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:40,667 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:41,436 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:41,437 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:41,437 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:43,465 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:43,466 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:45,693 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:47,067 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:48,849 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:48,850 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:50,281 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:50,382 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:51,332 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:52,719 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:54,074 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:55,339 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.2, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:55,340 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.3, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:55,613 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.3, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:56,347 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.3, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:56,841 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.3, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:56,915 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.3, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:56,915 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.3, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:57,540 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.3, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:58,679 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.3, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:59,615 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.3, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:31:59,615 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.3, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:02,838 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.3, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:02,839 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.3, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:02,839 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.3, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:02,839 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.3, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:02,839 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.3, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:02,839 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:02,839 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:03,142 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:20,892 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:21,919 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:21,920 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:22,812 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:22,981 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:24,195 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:24,195 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:26,611 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:26,891 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:28,411 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:29,901 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:31,391 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:33,106 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:33,407 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:33,408 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:35,845 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:37,085 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:38,504 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:39,397 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:39,398 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:40,973 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:41,231 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:41,232 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:41,788 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:42,172 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:43,776 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:44,317 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:44,317 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:44,528 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:44,764 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:45,077 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:45,078 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:45,078 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:45,297 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:46,900 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:32:46,901 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:33:03,249 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:33:03,250 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:33:04,402 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:33:05,094 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:33:05,764 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:33:05,764 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.4, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 21:33:05,765 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.5, threshold=0.0, P=0.4385, R=0.7215, F1=0.5455
2025-05-07 21:33:05,765 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.5, threshold=0.5, P=0.4385, R=0.7215, F1=0.5455
2025-05-07 21:33:05,765 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.5, threshold=1.0, P=0.4385, R=0.7215, F1=0.5455
2025-05-07 21:33:06,776 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.5, threshold=1.5, P=0.4385, R=0.7215, F1=0.5455
2025-05-07 21:33:07,906 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.5, threshold=2.0, P=0.4385, R=0.7215, F1=0.5455
2025-05-07 21:33:10,306 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.5, threshold=2.5, P=0.4385, R=0.7215, F1=0.5455
2025-05-07 21:33:12,202 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.5, threshold=3.0, P=0.4385, R=0.7215, F1=0.5455
2025-05-07 21:33:12,203 - INFO - [machine-1-1.txt] mode=mean_ratio, corr_threshold=0.5, threshold=3.5, P=0.4385, R=0.7215, F1=0.5455
