2025-05-08 02:42:33,757 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='machine', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['range_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/machine/neighbor_all', visual_dir='./visual/machine/neighbor_all', num_workers=36, gif_duration=500)
2025-05-08 02:42:33,757 - INFO - 当前评分模式: ['range_ratio']
2025-05-08 02:42:33,757 - INFO - 
==================================================
2025-05-08 02:42:33,757 - INFO - 开始执行网格搜索...
2025-05-08 02:42:33,763 - INFO - [machine-1-1] Starting grid search...
2025-05-08 02:43:21,867 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:43:21,869 - INFO - [machine-1-1.txt] mode=range_ratio, all=None, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:43:21,948 - INFO - [machine-1-7] Starting grid search...
2025-05-08 02:43:58,619 - INFO - [machine-1-7.txt] mode=range_ratio, all=None, threshold=0.0, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 02:43:58,621 - INFO - [machine-1-7.txt] mode=range_ratio, all=None, threshold=0.5, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 02:43:59,300 - INFO - [machine-1-7.txt] mode=range_ratio, all=None, threshold=1.0, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 02:43:59,300 - INFO - [machine-1-7.txt] mode=range_ratio, all=None, threshold=1.5, P=0.3848, R=0.9769, F1=0.5522
2025-05-08 02:43:59,964 - INFO - [machine-1-7.txt] mode=range_ratio, all=None, threshold=2.0, P=0.3848, R=0.9769, F1=0.5522
2025-05-08 02:44:00,005 - INFO - [machine-1-7.txt] mode=range_ratio, all=None, threshold=2.5, P=0.3872, R=0.9769, F1=0.5546
2025-05-08 02:44:00,005 - INFO - [machine-1-7.txt] mode=range_ratio, all=None, threshold=3.0, P=0.3872, R=0.9769, F1=0.5546
2025-05-08 02:44:00,005 - INFO - [machine-1-7.txt] mode=range_ratio, all=None, threshold=3.5, P=0.3872, R=0.9769, F1=0.5546
2025-05-08 02:44:00,005 - INFO - [machine-1-7.txt] mode=range_ratio, all=None, threshold=4.0, P=0.3872, R=0.9769, F1=0.5546
2025-05-08 02:44:00,005 - INFO - [machine-1-7.txt] mode=range_ratio, all=None, threshold=4.5, P=0.3872, R=0.9769, F1=0.5546
2025-05-08 02:44:00,005 - INFO - [machine-1-7.txt] mode=range_ratio, all=None, threshold=5.0, P=0.3908, R=0.9769, F1=0.5582
2025-05-08 02:44:00,006 - INFO - [machine-1-7.txt] mode=range_ratio, all=None, threshold=5.5, P=0.3920, R=0.9769, F1=0.5595
2025-05-08 02:44:00,006 - INFO - [machine-1-7.txt] mode=range_ratio, all=None, threshold=6.0, P=0.3944, R=0.9769, F1=0.5619
2025-05-08 02:44:00,006 - INFO - [machine-1-7.txt] mode=range_ratio, all=None, threshold=6.5, P=0.3956, R=0.9769, F1=0.5632
2025-05-08 02:44:00,006 - INFO - [machine-1-7.txt] mode=range_ratio, all=None, threshold=7.0, P=0.3994, R=0.9769, F1=0.5670
2025-05-08 02:44:00,099 - INFO - [machine-2-7] Starting grid search...
2025-05-08 02:44:33,411 - INFO - [machine-2-7.txt] mode=range_ratio, all=None, threshold=0.0, P=0.2000, R=0.5930, F1=0.2991
2025-05-08 02:44:33,751 - INFO - [machine-2-7.txt] mode=range_ratio, all=None, threshold=0.5, P=0.2000, R=0.5930, F1=0.2991
2025-05-08 02:44:33,751 - INFO - [machine-2-7.txt] mode=range_ratio, all=None, threshold=1.0, P=0.2000, R=0.5930, F1=0.2991
2025-05-08 02:44:34,276 - INFO - [machine-2-7.txt] mode=range_ratio, all=None, threshold=1.5, P=0.2101, R=0.5814, F1=0.3086
2025-05-08 02:44:34,295 - INFO - [machine-2-7.txt] mode=range_ratio, all=None, threshold=2.0, P=0.2174, R=0.5814, F1=0.3165
2025-05-08 02:44:34,295 - INFO - [machine-2-7.txt] mode=range_ratio, all=None, threshold=2.5, P=0.2269, R=0.5698, F1=0.3245
2025-05-08 02:44:34,295 - INFO - [machine-2-7.txt] mode=range_ratio, all=None, threshold=3.0, P=0.2269, R=0.5698, F1=0.3245
2025-05-08 02:44:34,295 - INFO - [machine-2-7.txt] mode=range_ratio, all=None, threshold=3.5, P=0.2350, R=0.5465, F1=0.3287
2025-05-08 02:44:34,295 - INFO - [machine-2-7.txt] mode=range_ratio, all=None, threshold=4.0, P=0.2410, R=0.5465, F1=0.3345
2025-05-08 02:44:34,295 - INFO - [machine-2-7.txt] mode=range_ratio, all=None, threshold=4.5, P=0.2513, R=0.5465, F1=0.3443
2025-05-08 02:44:34,296 - INFO - [machine-2-7.txt] mode=range_ratio, all=None, threshold=5.0, P=0.2599, R=0.5349, F1=0.3498
2025-05-08 02:44:34,296 - INFO - [machine-2-7.txt] mode=range_ratio, all=None, threshold=5.5, P=0.2663, R=0.5233, F1=0.3529
2025-05-08 02:44:34,296 - INFO - [machine-2-7.txt] mode=range_ratio, all=None, threshold=6.0, P=0.2733, R=0.5116, F1=0.3563
2025-05-08 02:44:34,296 - INFO - [machine-2-7.txt] mode=range_ratio, all=None, threshold=6.5, P=0.2821, R=0.5116, F1=0.3636
2025-05-08 02:44:34,296 - INFO - [machine-2-7.txt] mode=range_ratio, all=None, threshold=7.0, P=0.2933, R=0.5116, F1=0.3729
2025-05-08 02:44:34,382 - INFO - [machine-3-6] Starting grid search...
2025-05-08 02:45:16,794 - INFO - [machine-3-6.txt] mode=range_ratio, all=None, threshold=0.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 02:45:16,795 - INFO - [machine-3-6.txt] mode=range_ratio, all=None, threshold=0.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 02:45:17,574 - INFO - [machine-3-6.txt] mode=range_ratio, all=None, threshold=1.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 02:45:17,575 - INFO - [machine-3-6.txt] mode=range_ratio, all=None, threshold=1.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 02:45:17,575 - INFO - [machine-3-6.txt] mode=range_ratio, all=None, threshold=2.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 02:45:17,575 - INFO - [machine-3-6.txt] mode=range_ratio, all=None, threshold=2.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 02:45:17,575 - INFO - [machine-3-6.txt] mode=range_ratio, all=None, threshold=3.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 02:45:17,575 - INFO - [machine-3-6.txt] mode=range_ratio, all=None, threshold=3.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 02:45:17,575 - INFO - [machine-3-6.txt] mode=range_ratio, all=None, threshold=4.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 02:45:17,575 - INFO - [machine-3-6.txt] mode=range_ratio, all=None, threshold=4.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 02:45:17,576 - INFO - [machine-3-6.txt] mode=range_ratio, all=None, threshold=5.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 02:45:17,576 - INFO - [machine-3-6.txt] mode=range_ratio, all=None, threshold=5.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 02:45:17,576 - INFO - [machine-3-6.txt] mode=range_ratio, all=None, threshold=6.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 02:45:17,576 - INFO - [machine-3-6.txt] mode=range_ratio, all=None, threshold=6.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 02:45:17,576 - INFO - [machine-3-6.txt] mode=range_ratio, all=None, threshold=7.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 02:45:17,657 - INFO - [machine-3-3] Starting grid search...
2025-05-08 02:45:54,222 - INFO - [machine-3-3.txt] mode=range_ratio, all=None, threshold=0.0, P=0.1738, R=0.3675, F1=0.2360
2025-05-08 02:45:54,391 - INFO - [machine-3-3.txt] mode=range_ratio, all=None, threshold=0.5, P=0.1763, R=0.3675, F1=0.2383
2025-05-08 02:45:54,391 - INFO - [machine-3-3.txt] mode=range_ratio, all=None, threshold=1.0, P=0.1773, R=0.3675, F1=0.2392
2025-05-08 02:45:54,392 - INFO - [machine-3-3.txt] mode=range_ratio, all=None, threshold=1.5, P=0.1794, R=0.3675, F1=0.2411
2025-05-08 02:45:54,392 - INFO - [machine-3-3.txt] mode=range_ratio, all=None, threshold=2.0, P=0.1794, R=0.3675, F1=0.2411
2025-05-08 02:45:54,392 - INFO - [machine-3-3.txt] mode=range_ratio, all=None, threshold=2.5, P=0.1775, R=0.3614, F1=0.2381
2025-05-08 02:45:54,392 - INFO - [machine-3-3.txt] mode=range_ratio, all=None, threshold=3.0, P=0.1766, R=0.3554, F1=0.2360
2025-05-08 02:45:54,392 - INFO - [machine-3-3.txt] mode=range_ratio, all=None, threshold=3.5, P=0.1793, R=0.3554, F1=0.2384
2025-05-08 02:45:54,392 - INFO - [machine-3-3.txt] mode=range_ratio, all=None, threshold=4.0, P=0.1793, R=0.3554, F1=0.2384
2025-05-08 02:45:55,088 - INFO - [machine-3-3.txt] mode=range_ratio, all=None, threshold=4.5, P=0.1821, R=0.3554, F1=0.2408
2025-05-08 02:45:55,175 - INFO - [machine-3-3.txt] mode=range_ratio, all=None, threshold=5.0, P=0.1821, R=0.3554, F1=0.2408
2025-05-08 02:45:55,176 - INFO - [machine-3-3.txt] mode=range_ratio, all=None, threshold=5.5, P=0.1844, R=0.3554, F1=0.2428
2025-05-08 02:45:55,176 - INFO - [machine-3-3.txt] mode=range_ratio, all=None, threshold=6.0, P=0.1844, R=0.3554, F1=0.2428
2025-05-08 02:45:55,176 - INFO - [machine-3-3.txt] mode=range_ratio, all=None, threshold=6.5, P=0.1879, R=0.3554, F1=0.2458
2025-05-08 02:45:55,176 - INFO - [machine-3-3.txt] mode=range_ratio, all=None, threshold=7.0, P=0.1885, R=0.3554, F1=0.2463
2025-05-08 02:45:55,259 - INFO - [machine-3-4] Starting grid search...
2025-05-08 02:46:28,609 - INFO - [machine-3-4.txt] mode=range_ratio, all=None, threshold=0.0, P=0.1340, R=0.8667, F1=0.2321
2025-05-08 02:46:28,610 - INFO - [machine-3-4.txt] mode=range_ratio, all=None, threshold=0.5, P=0.1340, R=0.8667, F1=0.2321
2025-05-08 02:46:28,836 - INFO - [machine-3-4.txt] mode=range_ratio, all=None, threshold=1.0, P=0.1347, R=0.8667, F1=0.2332
2025-05-08 02:46:28,836 - INFO - [machine-3-4.txt] mode=range_ratio, all=None, threshold=1.5, P=0.1383, R=0.8667, F1=0.2385
2025-05-08 02:46:29,463 - INFO - [machine-3-4.txt] mode=range_ratio, all=None, threshold=2.0, P=0.1436, R=0.8667, F1=0.2464
2025-05-08 02:46:29,955 - INFO - [machine-3-4.txt] mode=range_ratio, all=None, threshold=2.5, P=0.1469, R=0.8667, F1=0.2512
2025-05-08 02:46:29,956 - INFO - [machine-3-4.txt] mode=range_ratio, all=None, threshold=3.0, P=0.1469, R=0.8667, F1=0.2512
2025-05-08 02:46:29,956 - INFO - [machine-3-4.txt] mode=range_ratio, all=None, threshold=3.5, P=0.1512, R=0.8667, F1=0.2574
2025-05-08 02:46:29,957 - INFO - [machine-3-4.txt] mode=range_ratio, all=None, threshold=4.0, P=0.1512, R=0.8667, F1=0.2574
2025-05-08 02:46:29,957 - INFO - [machine-3-4.txt] mode=range_ratio, all=None, threshold=4.5, P=0.1479, R=0.8333, F1=0.2513
2025-05-08 02:46:29,957 - INFO - [machine-3-4.txt] mode=range_ratio, all=None, threshold=5.0, P=0.1479, R=0.8333, F1=0.2513
2025-05-08 02:46:29,957 - INFO - [machine-3-4.txt] mode=range_ratio, all=None, threshold=5.5, P=0.1429, R=0.8000, F1=0.2424
2025-05-08 02:46:29,957 - INFO - [machine-3-4.txt] mode=range_ratio, all=None, threshold=6.0, P=0.1437, R=0.8000, F1=0.2437
2025-05-08 02:46:29,957 - INFO - [machine-3-4.txt] mode=range_ratio, all=None, threshold=6.5, P=0.1446, R=0.8000, F1=0.2449
2025-05-08 02:46:29,957 - INFO - [machine-3-4.txt] mode=range_ratio, all=None, threshold=7.0, P=0.1394, R=0.7667, F1=0.2359
2025-05-08 02:46:30,050 - INFO - [machine-3-8] Starting grid search...
2025-05-08 02:47:09,003 - INFO - [machine-3-8.txt] mode=range_ratio, all=None, threshold=0.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 02:47:09,004 - INFO - [machine-3-8.txt] mode=range_ratio, all=None, threshold=0.5, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 02:47:09,004 - INFO - [machine-3-8.txt] mode=range_ratio, all=None, threshold=1.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 02:47:09,138 - INFO - [machine-3-8.txt] mode=range_ratio, all=None, threshold=1.5, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 02:47:09,410 - INFO - [machine-3-8.txt] mode=range_ratio, all=None, threshold=2.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 02:47:09,577 - INFO - [machine-3-8.txt] mode=range_ratio, all=None, threshold=2.5, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 02:47:10,221 - INFO - [machine-3-8.txt] mode=range_ratio, all=None, threshold=3.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 02:47:10,222 - INFO - [machine-3-8.txt] mode=range_ratio, all=None, threshold=3.5, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 02:47:10,447 - INFO - [machine-3-8.txt] mode=range_ratio, all=None, threshold=4.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 02:47:10,448 - INFO - [machine-3-8.txt] mode=range_ratio, all=None, threshold=4.5, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 02:47:10,448 - INFO - [machine-3-8.txt] mode=range_ratio, all=None, threshold=5.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 02:47:10,448 - INFO - [machine-3-8.txt] mode=range_ratio, all=None, threshold=5.5, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 02:47:10,449 - INFO - [machine-3-8.txt] mode=range_ratio, all=None, threshold=6.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 02:47:10,449 - INFO - [machine-3-8.txt] mode=range_ratio, all=None, threshold=6.5, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 02:47:10,538 - INFO - [machine-3-8.txt] mode=range_ratio, all=None, threshold=7.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 02:47:10,620 - INFO - [machine-2-1] Starting grid search...
2025-05-08 02:47:44,030 - INFO - [machine-2-1.txt] mode=range_ratio, all=None, threshold=0.0, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 02:47:44,031 - INFO - [machine-2-1.txt] mode=range_ratio, all=None, threshold=0.5, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 02:47:44,856 - INFO - [machine-2-1.txt] mode=range_ratio, all=None, threshold=1.0, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 02:47:45,081 - INFO - [machine-2-1.txt] mode=range_ratio, all=None, threshold=1.5, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 02:47:45,082 - INFO - [machine-2-1.txt] mode=range_ratio, all=None, threshold=2.0, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 02:47:45,082 - INFO - [machine-2-1.txt] mode=range_ratio, all=None, threshold=2.5, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 02:47:45,083 - INFO - [machine-2-1.txt] mode=range_ratio, all=None, threshold=3.0, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 02:47:45,083 - INFO - [machine-2-1.txt] mode=range_ratio, all=None, threshold=3.5, P=0.2254, R=0.9886, F1=0.3671
2025-05-08 02:47:45,083 - INFO - [machine-2-1.txt] mode=range_ratio, all=None, threshold=4.0, P=0.2254, R=0.9886, F1=0.3671
2025-05-08 02:47:45,083 - INFO - [machine-2-1.txt] mode=range_ratio, all=None, threshold=4.5, P=0.2266, R=0.9886, F1=0.3686
2025-05-08 02:47:45,083 - INFO - [machine-2-1.txt] mode=range_ratio, all=None, threshold=5.0, P=0.2266, R=0.9886, F1=0.3686
2025-05-08 02:47:45,083 - INFO - [machine-2-1.txt] mode=range_ratio, all=None, threshold=5.5, P=0.2272, R=0.9886, F1=0.3694
2025-05-08 02:47:45,083 - INFO - [machine-2-1.txt] mode=range_ratio, all=None, threshold=6.0, P=0.2272, R=0.9886, F1=0.3694
2025-05-08 02:47:45,083 - INFO - [machine-2-1.txt] mode=range_ratio, all=None, threshold=6.5, P=0.2277, R=0.9886, F1=0.3702
2025-05-08 02:47:45,514 - INFO - [machine-2-1.txt] mode=range_ratio, all=None, threshold=7.0, P=0.2257, R=0.9773, F1=0.3667
2025-05-08 02:47:45,601 - INFO - [machine-1-6] Starting grid search...
2025-05-08 02:48:27,643 - INFO - [machine-1-6.txt] mode=range_ratio, all=None, threshold=0.0, P=0.3810, R=0.9422, F1=0.5426
2025-05-08 02:48:28,006 - INFO - [machine-1-6.txt] mode=range_ratio, all=None, threshold=0.5, P=0.3810, R=0.9422, F1=0.5426
2025-05-08 02:48:28,007 - INFO - [machine-1-6.txt] mode=range_ratio, all=None, threshold=1.0, P=0.3831, R=0.9422, F1=0.5447
2025-05-08 02:48:28,867 - INFO - [machine-1-6.txt] mode=range_ratio, all=None, threshold=1.5, P=0.3873, R=0.9354, F1=0.5478
2025-05-08 02:48:28,868 - INFO - [machine-1-6.txt] mode=range_ratio, all=None, threshold=2.0, P=0.3906, R=0.9354, F1=0.5511
2025-05-08 02:48:28,868 - INFO - [machine-1-6.txt] mode=range_ratio, all=None, threshold=2.5, P=0.4000, R=0.9320, F1=0.5598
2025-05-08 02:48:28,868 - INFO - [machine-1-6.txt] mode=range_ratio, all=None, threshold=3.0, P=0.4030, R=0.9252, F1=0.5614
2025-05-08 02:48:28,868 - INFO - [machine-1-6.txt] mode=range_ratio, all=None, threshold=3.5, P=0.4107, R=0.9150, F1=0.5669
2025-05-08 02:48:28,869 - INFO - [machine-1-6.txt] mode=range_ratio, all=None, threshold=4.0, P=0.4101, R=0.9082, F1=0.5651
2025-05-08 02:48:28,869 - INFO - [machine-1-6.txt] mode=range_ratio, all=None, threshold=4.5, P=0.4190, R=0.8980, F1=0.5714
2025-05-08 02:48:28,869 - INFO - [machine-1-6.txt] mode=range_ratio, all=None, threshold=5.0, P=0.4251, R=0.8980, F1=0.5770
2025-05-08 02:48:28,869 - INFO - [machine-1-6.txt] mode=range_ratio, all=None, threshold=5.5, P=0.4288, R=0.8912, F1=0.5790
2025-05-08 02:48:28,869 - INFO - [machine-1-6.txt] mode=range_ratio, all=None, threshold=6.0, P=0.4326, R=0.8844, F1=0.5810
2025-05-08 02:48:28,869 - INFO - [machine-1-6.txt] mode=range_ratio, all=None, threshold=6.5, P=0.4307, R=0.8673, F1=0.5756
2025-05-08 02:48:28,869 - INFO - [machine-1-6.txt] mode=range_ratio, all=None, threshold=7.0, P=0.4340, R=0.8605, F1=0.5770
2025-05-08 02:48:28,943 - INFO - [machine-2-2] Starting grid search...
2025-05-08 02:49:05,873 - INFO - [machine-2-2.txt] mode=range_ratio, all=None, threshold=0.0, P=0.2405, R=0.8507, F1=0.3750
2025-05-08 02:49:05,873 - INFO - [machine-2-2.txt] mode=range_ratio, all=None, threshold=0.5, P=0.2405, R=0.8507, F1=0.3750
2025-05-08 02:49:05,874 - INFO - [machine-2-2.txt] mode=range_ratio, all=None, threshold=1.0, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 02:49:05,874 - INFO - [machine-2-2.txt] mode=range_ratio, all=None, threshold=1.5, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 02:49:06,301 - INFO - [machine-2-2.txt] mode=range_ratio, all=None, threshold=2.0, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 02:49:06,302 - INFO - [machine-2-2.txt] mode=range_ratio, all=None, threshold=2.5, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 02:49:06,302 - INFO - [machine-2-2.txt] mode=range_ratio, all=None, threshold=3.0, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 02:49:06,302 - INFO - [machine-2-2.txt] mode=range_ratio, all=None, threshold=3.5, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 02:49:06,302 - INFO - [machine-2-2.txt] mode=range_ratio, all=None, threshold=4.0, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 02:49:06,302 - INFO - [machine-2-2.txt] mode=range_ratio, all=None, threshold=4.5, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 02:49:06,302 - INFO - [machine-2-2.txt] mode=range_ratio, all=None, threshold=5.0, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 02:49:06,302 - INFO - [machine-2-2.txt] mode=range_ratio, all=None, threshold=5.5, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 02:49:06,461 - INFO - [machine-2-2.txt] mode=range_ratio, all=None, threshold=6.0, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 02:49:06,461 - INFO - [machine-2-2.txt] mode=range_ratio, all=None, threshold=6.5, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 02:49:06,462 - INFO - [machine-2-2.txt] mode=range_ratio, all=None, threshold=7.0, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 02:49:06,550 - INFO - [machine-2-8] Starting grid search...
2025-05-08 02:49:38,441 - INFO - [machine-2-8.txt] mode=range_ratio, all=None, threshold=0.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 02:49:38,442 - INFO - [machine-2-8.txt] mode=range_ratio, all=None, threshold=0.5, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 02:49:38,442 - INFO - [machine-2-8.txt] mode=range_ratio, all=None, threshold=1.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 02:49:38,442 - INFO - [machine-2-8.txt] mode=range_ratio, all=None, threshold=1.5, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 02:49:38,442 - INFO - [machine-2-8.txt] mode=range_ratio, all=None, threshold=2.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 02:49:38,443 - INFO - [machine-2-8.txt] mode=range_ratio, all=None, threshold=2.5, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 02:49:38,443 - INFO - [machine-2-8.txt] mode=range_ratio, all=None, threshold=3.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 02:49:38,443 - INFO - [machine-2-8.txt] mode=range_ratio, all=None, threshold=3.5, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 02:49:38,443 - INFO - [machine-2-8.txt] mode=range_ratio, all=None, threshold=4.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 02:49:38,473 - INFO - [machine-2-8.txt] mode=range_ratio, all=None, threshold=4.5, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 02:49:38,474 - INFO - [machine-2-8.txt] mode=range_ratio, all=None, threshold=5.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 02:49:39,051 - INFO - [machine-2-8.txt] mode=range_ratio, all=None, threshold=5.5, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 02:49:39,052 - INFO - [machine-2-8.txt] mode=range_ratio, all=None, threshold=6.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 02:49:39,052 - INFO - [machine-2-8.txt] mode=range_ratio, all=None, threshold=6.5, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 02:49:39,052 - INFO - [machine-2-8.txt] mode=range_ratio, all=None, threshold=7.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 02:49:39,134 - INFO - [machine-3-11] Starting grid search...
2025-05-08 02:50:12,813 - INFO - [machine-3-11.txt] mode=range_ratio, all=None, threshold=0.0, P=0.5256, R=0.9111, F1=0.6667
2025-05-08 02:50:13,687 - INFO - [machine-3-11.txt] mode=range_ratio, all=None, threshold=0.5, P=0.5256, R=0.9111, F1=0.6667
2025-05-08 02:50:13,688 - INFO - [machine-3-11.txt] mode=range_ratio, all=None, threshold=1.0, P=0.5256, R=0.9111, F1=0.6667
2025-05-08 02:50:14,665 - INFO - [machine-3-11.txt] mode=range_ratio, all=None, threshold=1.5, P=0.5256, R=0.9111, F1=0.6667
2025-05-08 02:50:14,666 - INFO - [machine-3-11.txt] mode=range_ratio, all=None, threshold=2.0, P=0.5256, R=0.9111, F1=0.6667
