2025-04-17 17:45:00,021 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='els', window_size=5, score_thresholds=array([0. , 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1. , 1.1, 1.2,
       1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2. , 2.1, 2.2, 2.3, 2.4, 2.5,
       2.6, 2.7, 2.8, 2.9, 3. , 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8,
       3.9, 4. , 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5. , 5.1,
       5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6. , 6.1, 6.2, 6.3, 6.4,
       6.5, 6.6, 6.7, 6.8, 6.9, 7. ]), topk_range=range(0, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['value_times_range'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/els/neighbor_topk', visual_dir='./visual/els/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-17 17:45:00,021 - INFO - 当前评分模式: ['value_times_range']
2025-04-17 17:45:00,021 - INFO - 
==================================================
2025-04-17 17:45:00,021 - INFO - 开始执行网格搜索...
2025-04-17 17:45:00,025 - INFO - [els-1] Starting grid search...
2025-04-17 17:45:00,621 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=0.0, P=0.3200, R=0.2689, F1=0.2922
2025-04-17 17:45:01,074 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=3.7, P=0.4177, R=0.1387, F1=0.2082
2025-04-17 17:45:01,097 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=3.8, P=0.4342, R=0.1387, F1=0.2102
2025-04-17 17:45:01,098 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=3.9, P=0.4400, R=0.1387, F1=0.2109
2025-04-17 17:45:01,098 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=4.0, P=0.4493, R=0.1303, F1=0.2020
2025-04-17 17:45:01,098 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=4.1, P=0.4493, R=0.1303, F1=0.2020
2025-04-17 17:45:01,098 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=4.2, P=0.4493, R=0.1303, F1=0.2020
2025-04-17 17:45:01,102 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=4.3, P=0.4493, R=0.1303, F1=0.2020
2025-04-17 17:45:01,132 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=4.4, P=0.4493, R=0.1303, F1=0.2020
2025-04-17 17:45:01,132 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=4.5, P=0.4769, R=0.1303, F1=0.2046
2025-04-17 17:45:01,138 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=4.6, P=0.4769, R=0.1303, F1=0.2046
2025-04-17 17:45:01,482 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=4.7, P=0.4844, R=0.1303, F1=0.2053
2025-04-17 17:45:01,496 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=4.8, P=0.4844, R=0.1303, F1=0.2053
2025-04-17 17:45:01,497 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=4.9, P=0.4677, R=0.1218, F1=0.1933
2025-04-17 17:45:01,524 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=5.0, P=0.4677, R=0.1218, F1=0.1933
2025-04-17 17:45:01,529 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=5.1, P=0.4754, R=0.1218, F1=0.1940
2025-04-17 17:45:01,529 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=5.2, P=0.4754, R=0.1218, F1=0.1940
2025-04-17 17:45:01,533 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=5.3, P=0.4833, R=0.1218, F1=0.1946
2025-04-17 17:45:01,533 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=5.4, P=0.4833, R=0.1218, F1=0.1946
2025-04-17 17:45:01,552 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=5.5, P=0.4737, R=0.1134, F1=0.1831
2025-04-17 17:45:01,552 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=5.6, P=0.4821, R=0.1134, F1=0.1837
2025-04-17 17:45:01,562 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=5.7, P=0.4821, R=0.1134, F1=0.1837
2025-04-17 17:45:01,562 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=5.8, P=0.5000, R=0.1134, F1=0.1849
2025-04-17 17:45:01,582 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=5.9, P=0.5200, R=0.1092, F1=0.1806
2025-04-17 17:45:01,582 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=6.0, P=0.5306, R=0.1092, F1=0.1812
2025-04-17 17:45:01,582 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=6.1, P=0.5417, R=0.1092, F1=0.1818
2025-04-17 17:45:01,582 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=6.2, P=0.5417, R=0.1092, F1=0.1818
2025-04-17 17:45:01,582 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=6.3, P=0.5652, R=0.1092, F1=0.1831
2025-04-17 17:45:01,670 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=6.4, P=0.5652, R=0.1092, F1=0.1831
2025-04-17 17:45:01,671 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=6.5, P=0.5556, R=0.1050, F1=0.1767
2025-04-17 17:45:01,675 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=6.6, P=0.5556, R=0.1050, F1=0.1767
2025-04-17 17:45:01,678 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=6.7, P=0.5556, R=0.1050, F1=0.1767
2025-04-17 17:45:01,679 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=6.8, P=0.5556, R=0.1050, F1=0.1767
2025-04-17 17:45:01,692 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=6.9, P=0.5556, R=0.1050, F1=0.1767
2025-04-17 17:45:01,707 - INFO - [els-1.txt] mode=value_times_range, topk=0, threshold=7.0, P=0.5682, R=0.1050, F1=0.1773
2025-04-17 17:45:01,707 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=0.0, P=0.3050, R=0.3319, F1=0.3179
2025-04-17 17:45:01,707 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=0.1, P=0.3071, R=0.3277, F1=0.3171
2025-04-17 17:45:01,707 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=0.2, P=0.3083, R=0.3277, F1=0.3177
2025-04-17 17:45:01,707 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=0.3, P=0.3083, R=0.3277, F1=0.3177
2025-04-17 17:45:01,707 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=0.4, P=0.3105, R=0.3235, F1=0.3169
2025-04-17 17:45:01,708 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=0.5, P=0.3143, R=0.3235, F1=0.3188
2025-04-17 17:45:01,708 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=0.6, P=0.3143, R=0.3235, F1=0.3188
2025-04-17 17:45:01,708 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=0.7, P=0.3143, R=0.3235, F1=0.3188
2025-04-17 17:45:01,708 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=0.8, P=0.3156, R=0.3235, F1=0.3195
2025-04-17 17:45:01,708 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=0.9, P=0.3169, R=0.3235, F1=0.3202
2025-04-17 17:45:01,708 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=1.0, P=0.3169, R=0.3235, F1=0.3202
2025-04-17 17:45:01,708 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=1.1, P=0.3138, R=0.3151, F1=0.3145
2025-04-17 17:45:01,708 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=1.2, P=0.3151, R=0.3151, F1=0.3151
2025-04-17 17:45:01,708 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=1.3, P=0.3205, R=0.3151, F1=0.3178
2025-04-17 17:45:01,708 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=1.4, P=0.3275, R=0.3151, F1=0.3212
2025-04-17 17:45:01,708 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=1.5, P=0.3363, R=0.3151, F1=0.3254
2025-04-17 17:45:01,708 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=1.6, P=0.3394, R=0.3151, F1=0.3268
2025-04-17 17:45:01,708 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=1.7, P=0.3460, R=0.3067, F1=0.3252
2025-04-17 17:45:01,709 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=1.8, P=0.3582, R=0.3025, F1=0.3280
2025-04-17 17:45:01,718 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=1.9, P=0.3770, R=0.3025, F1=0.3357
2025-04-17 17:45:01,718 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=2.0, P=0.3710, R=0.2899, F1=0.3255
2025-04-17 17:45:01,728 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=2.1, P=0.3710, R=0.2899, F1=0.3255
2025-04-17 17:45:01,768 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=2.2, P=0.3710, R=0.2899, F1=0.3255
2025-04-17 17:45:01,778 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=2.3, P=0.3770, R=0.2899, F1=0.3278
2025-04-17 17:45:01,781 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=2.4, P=0.3764, R=0.2815, F1=0.3221
2025-04-17 17:45:01,809 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=2.5, P=0.3771, R=0.2773, F1=0.3196
2025-04-17 17:45:01,852 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=2.6, P=0.3771, R=0.2773, F1=0.3196
2025-04-17 17:45:01,853 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=2.7, P=0.3706, R=0.2647, F1=0.3088
2025-04-17 17:45:01,853 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=2.8, P=0.3706, R=0.2647, F1=0.3088
2025-04-17 17:45:01,853 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=2.9, P=0.3728, R=0.2647, F1=0.3096
2025-04-17 17:45:01,871 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=3.0, P=0.3728, R=0.2647, F1=0.3096
2025-04-17 17:45:01,871 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=3.1, P=0.3772, R=0.2647, F1=0.3111
2025-04-17 17:45:01,879 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=3.2, P=0.3642, R=0.2479, F1=0.2950
2025-04-17 17:45:02,124 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=3.3, P=0.3665, R=0.2479, F1=0.2957
2025-04-17 17:45:02,150 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=3.4, P=0.3613, R=0.2353, F1=0.2850
2025-04-17 17:45:02,151 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=3.5, P=0.3733, R=0.2353, F1=0.2887
2025-04-17 17:45:02,231 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=3.6, P=0.3767, R=0.2311, F1=0.2865
2025-04-17 17:45:02,231 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=3.7, P=0.3776, R=0.2269, F1=0.2835
2025-04-17 17:45:02,231 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=3.8, P=0.3684, R=0.2059, F1=0.2642
2025-04-17 17:45:02,266 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=3.9, P=0.3684, R=0.2059, F1=0.2642
2025-04-17 17:45:02,266 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=4.0, P=0.3643, R=0.1975, F1=0.2561
2025-04-17 17:45:02,266 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=4.1, P=0.3643, R=0.1975, F1=0.2561
2025-04-17 17:45:02,266 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=4.2, P=0.3672, R=0.1975, F1=0.2568
2025-04-17 17:45:02,266 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=4.3, P=0.3672, R=0.1975, F1=0.2568
2025-04-17 17:45:02,266 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=4.4, P=0.3730, R=0.1975, F1=0.2582
2025-04-17 17:45:02,266 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=4.5, P=0.3852, R=0.1975, F1=0.2611
2025-04-17 17:45:02,266 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=4.6, P=0.3852, R=0.1975, F1=0.2611
2025-04-17 17:45:02,267 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=4.7, P=0.3852, R=0.1975, F1=0.2611
2025-04-17 17:45:02,267 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=4.8, P=0.3917, R=0.1975, F1=0.2626
2025-04-17 17:45:02,379 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=4.9, P=0.3814, R=0.1891, F1=0.2528
2025-04-17 17:45:02,379 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=5.0, P=0.3826, R=0.1849, F1=0.2493
2025-04-17 17:45:02,379 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=5.1, P=0.3826, R=0.1849, F1=0.2493
2025-04-17 17:45:02,397 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=5.2, P=0.3805, R=0.1807, F1=0.2450
2025-04-17 17:45:02,397 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=5.3, P=0.3784, R=0.1765, F1=0.2407
2025-04-17 17:45:02,397 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=5.4, P=0.3818, R=0.1765, F1=0.2414
2025-04-17 17:45:02,397 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=5.5, P=0.3853, R=0.1765, F1=0.2421
2025-04-17 17:45:02,397 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=5.6, P=0.3905, R=0.1723, F1=0.2391
2025-04-17 17:45:02,398 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=5.7, P=0.3905, R=0.1723, F1=0.2391
2025-04-17 17:45:02,398 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=5.8, P=0.3905, R=0.1723, F1=0.2391
2025-04-17 17:45:02,398 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=5.9, P=0.3981, R=0.1723, F1=0.2405
2025-04-17 17:45:02,398 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=6.0, P=0.3981, R=0.1723, F1=0.2405
2025-04-17 17:45:02,398 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=6.1, P=0.4020, R=0.1723, F1=0.2412
2025-04-17 17:45:02,398 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=6.2, P=0.4100, R=0.1723, F1=0.2426
2025-04-17 17:45:02,398 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=6.3, P=0.4040, R=0.1681, F1=0.2374
2025-04-17 17:45:02,398 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=6.4, P=0.4021, R=0.1639, F1=0.2328
2025-04-17 17:45:02,398 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=6.5, P=0.4021, R=0.1639, F1=0.2328
2025-04-17 17:45:02,398 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=6.6, P=0.4021, R=0.1639, F1=0.2328
2025-04-17 17:45:02,398 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=6.7, P=0.3958, R=0.1597, F1=0.2275
2025-04-17 17:45:02,398 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=6.8, P=0.3978, R=0.1555, F1=0.2236
2025-04-17 17:45:02,398 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=6.9, P=0.3978, R=0.1555, F1=0.2236
2025-04-17 17:45:02,414 - INFO - [els-1.txt] mode=value_times_range, topk=1, threshold=7.0, P=0.3978, R=0.1555, F1=0.2236
2025-04-17 17:45:02,414 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=0.0, P=0.3013, R=0.3824, F1=0.3370
2025-04-17 17:45:02,414 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=0.1, P=0.3023, R=0.3824, F1=0.3377
2025-04-17 17:45:02,414 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=0.2, P=0.3033, R=0.3824, F1=0.3383
2025-04-17 17:45:02,414 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=0.3, P=0.3033, R=0.3824, F1=0.3383
2025-04-17 17:45:02,414 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=0.4, P=0.3030, R=0.3782, F1=0.3364
2025-04-17 17:45:02,414 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=0.5, P=0.3051, R=0.3782, F1=0.3377
2025-04-17 17:45:02,414 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=0.6, P=0.3051, R=0.3782, F1=0.3377
2025-04-17 17:45:02,419 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=0.7, P=0.3072, R=0.3782, F1=0.3390
2025-04-17 17:45:02,431 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=0.8, P=0.3082, R=0.3782, F1=0.3396
2025-04-17 17:45:02,489 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=0.9, P=0.3093, R=0.3782, F1=0.3403
2025-04-17 17:45:02,489 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=1.0, P=0.3093, R=0.3782, F1=0.3403
2025-04-17 17:45:02,490 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=1.1, P=0.3114, R=0.3782, F1=0.3416
2025-04-17 17:45:02,490 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=1.2, P=0.3136, R=0.3782, F1=0.3429
2025-04-17 17:45:02,498 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=1.3, P=0.3158, R=0.3782, F1=0.3442
2025-04-17 17:45:02,499 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=1.4, P=0.3165, R=0.3697, F1=0.3411
2025-04-17 17:45:02,499 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=1.5, P=0.3200, R=0.3697, F1=0.3431
2025-04-17 17:45:02,503 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=1.6, P=0.3235, R=0.3697, F1=0.3451
2025-04-17 17:45:02,503 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=1.7, P=0.3333, R=0.3655, F1=0.3487
2025-04-17 17:45:02,541 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=1.8, P=0.3373, R=0.3571, F1=0.3469
2025-04-17 17:45:02,570 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=1.9, P=0.3469, R=0.3571, F1=0.3520
2025-04-17 17:45:02,571 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=2.0, P=0.3469, R=0.3571, F1=0.3520
2025-04-17 17:45:02,606 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=2.1, P=0.3498, R=0.3571, F1=0.3534
2025-04-17 17:45:02,653 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=2.2, P=0.3512, R=0.3571, F1=0.3542
2025-04-17 17:45:02,825 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=2.3, P=0.3527, R=0.3571, F1=0.3549
2025-04-17 17:45:02,825 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=2.4, P=0.3542, R=0.3571, F1=0.3556
2025-04-17 17:45:02,825 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=2.5, P=0.3529, R=0.3529, F1=0.3529
2025-04-17 17:45:02,954 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=2.6, P=0.3529, R=0.3529, F1=0.3529
2025-04-17 17:45:02,954 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=2.7, P=0.3547, R=0.3487, F1=0.3517
2025-04-17 17:45:02,954 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=2.8, P=0.3547, R=0.3487, F1=0.3517
2025-04-17 17:45:02,954 - INFO - [els-1.txt] mode=value_times_range, topk=2, threshold=2.9, P=0.3509, R=0.3361, F1=0.3433
