2025-05-07 23:36:54,998 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='machine', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['value_times_range'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/machine/neighbor_corr_threshold', visual_dir='./visual/machine/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-05-07 23:36:54,998 - INFO - 当前评分模式: ['value_times_range']
2025-05-07 23:36:54,998 - INFO - 
==================================================
2025-05-07 23:36:54,998 - INFO - 开始执行网格搜索...
2025-05-07 23:36:55,002 - INFO - [machine-1-1] Starting grid search...
2025-05-07 23:37:41,167 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.0, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:16,467 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:16,467 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:28,825 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:28,826 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:49,422 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:49,423 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:49,423 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:49,423 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:49,423 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:49,424 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:49,545 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:49,545 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:49,545 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:49,546 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:50,107 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:50,107 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:50,107 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:50,107 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:50,107 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:50,108 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:50,108 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:50,108 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:50,108 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:50,108 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:56,561 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:56,561 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:39:56,561 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:06,396 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:06,396 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:26,554 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.3, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:27,769 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.3, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:29,289 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.3, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:29,290 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.3, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:34,596 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.3, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:34,597 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.3, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:34,597 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.3, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:34,908 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.3, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:34,909 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.3, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:34,909 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.3, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:36,000 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.3, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:36,001 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.3, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:36,001 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.3, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:36,001 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.3, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:36,001 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.3, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:36,001 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:38,311 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:38,312 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:38,312 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:38,312 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:38,312 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:38,312 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:38,312 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:38,312 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:55,305 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:55,305 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:40:55,306 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:01,444 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:01,444 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:01,444 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:08,862 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:09,086 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:09,087 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:09,087 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:09,087 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:09,087 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:09,087 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:09,087 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:09,087 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:09,088 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:09,088 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:18,852 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:21,997 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:25,575 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:25,575 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:25,575 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:25,576 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:25,576 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:25,576 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:25,576 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:42,844 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:42,844 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:48,604 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:48,605 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:48,605 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:48,605 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:48,605 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:48,605 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:51,876 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:51,877 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.4, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 23:41:51,877 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.5, threshold=0.0, P=0.4385, R=0.7215, F1=0.5455
2025-05-07 23:41:51,877 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.5, threshold=0.5, P=0.4385, R=0.7215, F1=0.5455
2025-05-07 23:41:51,877 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.5, threshold=1.0, P=0.4453, R=0.7215, F1=0.5507
2025-05-07 23:41:51,877 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.5, threshold=1.5, P=0.4597, R=0.7215, F1=0.5616
2025-05-07 23:41:51,877 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.5, threshold=2.0, P=0.4583, R=0.6962, F1=0.5528
2025-05-07 23:41:51,877 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.5, threshold=2.5, P=0.4583, R=0.6962, F1=0.5528
2025-05-07 23:41:51,877 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.5, threshold=3.0, P=0.4583, R=0.6962, F1=0.5528
2025-05-07 23:41:51,877 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.5, threshold=3.5, P=0.4661, R=0.6962, F1=0.5584
2025-05-07 23:41:51,877 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.5, threshold=4.0, P=0.4741, R=0.6962, F1=0.5641
2025-05-07 23:41:51,877 - INFO - [machine-1-1.txt] mode=value_times_range, corr_threshold=0.5, threshold=4.5, P=0.4825, R=0.6962, F1=0.5699
