2025-05-08 02:57:30,651 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='machine', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['value_times_range'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/machine/neighbor_all', visual_dir='./visual/machine/neighbor_all', num_workers=36, gif_duration=500)
2025-05-08 02:57:30,651 - INFO - 当前评分模式: ['value_times_range']
2025-05-08 02:57:30,651 - INFO - 
==================================================
2025-05-08 02:57:30,651 - INFO - 开始执行网格搜索...
2025-05-08 02:57:30,660 - INFO - [machine-1-1] Starting grid search...
2025-05-08 02:58:16,850 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:58:18,051 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:58:18,052 - INFO - [machine-1-1.txt] mode=value_times_range, all=None, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-08 02:58:18,140 - INFO - [machine-1-7] Starting grid search...
2025-05-08 02:58:57,107 - INFO - [machine-1-7.txt] mode=value_times_range, all=None, threshold=0.0, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 02:58:57,108 - INFO - [machine-1-7.txt] mode=value_times_range, all=None, threshold=0.5, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 02:58:57,855 - INFO - [machine-1-7.txt] mode=value_times_range, all=None, threshold=1.0, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 02:58:57,855 - INFO - [machine-1-7.txt] mode=value_times_range, all=None, threshold=1.5, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 02:58:57,856 - INFO - [machine-1-7.txt] mode=value_times_range, all=None, threshold=2.0, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 02:58:57,856 - INFO - [machine-1-7.txt] mode=value_times_range, all=None, threshold=2.5, P=0.3825, R=0.9769, F1=0.5498
2025-05-08 02:58:57,856 - INFO - [machine-1-7.txt] mode=value_times_range, all=None, threshold=3.0, P=0.3848, R=0.9769, F1=0.5522
2025-05-08 02:58:57,856 - INFO - [machine-1-7.txt] mode=value_times_range, all=None, threshold=3.5, P=0.3848, R=0.9769, F1=0.5522
2025-05-08 02:58:57,856 - INFO - [machine-1-7.txt] mode=value_times_range, all=None, threshold=4.0, P=0.3848, R=0.9769, F1=0.5522
2025-05-08 02:58:57,856 - INFO - [machine-1-7.txt] mode=value_times_range, all=None, threshold=4.5, P=0.3848, R=0.9769, F1=0.5522
2025-05-08 02:58:57,856 - INFO - [machine-1-7.txt] mode=value_times_range, all=None, threshold=5.0, P=0.3848, R=0.9769, F1=0.5522
2025-05-08 02:58:57,856 - INFO - [machine-1-7.txt] mode=value_times_range, all=None, threshold=5.5, P=0.3848, R=0.9769, F1=0.5522
2025-05-08 02:58:57,856 - INFO - [machine-1-7.txt] mode=value_times_range, all=None, threshold=6.0, P=0.3872, R=0.9769, F1=0.5546
2025-05-08 02:58:57,856 - INFO - [machine-1-7.txt] mode=value_times_range, all=None, threshold=6.5, P=0.3872, R=0.9769, F1=0.5546
2025-05-08 02:58:57,897 - INFO - [machine-1-7.txt] mode=value_times_range, all=None, threshold=7.0, P=0.3872, R=0.9769, F1=0.5546
2025-05-08 02:58:57,988 - INFO - [machine-2-7] Starting grid search...
2025-05-08 02:59:31,079 - INFO - [machine-2-7.txt] mode=value_times_range, all=None, threshold=0.0, P=0.2000, R=0.5930, F1=0.2991
2025-05-08 02:59:31,379 - INFO - [machine-2-7.txt] mode=value_times_range, all=None, threshold=0.5, P=0.2024, R=0.5930, F1=0.3018
2025-05-08 02:59:31,380 - INFO - [machine-2-7.txt] mode=value_times_range, all=None, threshold=1.0, P=0.2032, R=0.5930, F1=0.3027
2025-05-08 02:59:31,380 - INFO - [machine-2-7.txt] mode=value_times_range, all=None, threshold=1.5, P=0.2032, R=0.5930, F1=0.3027
2025-05-08 02:59:31,380 - INFO - [machine-2-7.txt] mode=value_times_range, all=None, threshold=2.0, P=0.2032, R=0.5930, F1=0.3027
2025-05-08 02:59:31,380 - INFO - [machine-2-7.txt] mode=value_times_range, all=None, threshold=2.5, P=0.2032, R=0.5930, F1=0.3027
2025-05-08 02:59:31,381 - INFO - [machine-2-7.txt] mode=value_times_range, all=None, threshold=3.0, P=0.2125, R=0.5930, F1=0.3129
2025-05-08 02:59:31,381 - INFO - [machine-2-7.txt] mode=value_times_range, all=None, threshold=3.5, P=0.2137, R=0.5814, F1=0.3125
2025-05-08 02:59:31,381 - INFO - [machine-2-7.txt] mode=value_times_range, all=None, threshold=4.0, P=0.2146, R=0.5814, F1=0.3135
2025-05-08 02:59:31,381 - INFO - [machine-2-7.txt] mode=value_times_range, all=None, threshold=4.5, P=0.2155, R=0.5814, F1=0.3145
2025-05-08 02:59:31,713 - INFO - [machine-2-7.txt] mode=value_times_range, all=None, threshold=5.0, P=0.2203, R=0.5814, F1=0.3195
2025-05-08 02:59:31,713 - INFO - [machine-2-7.txt] mode=value_times_range, all=None, threshold=5.5, P=0.2273, R=0.5814, F1=0.3268
2025-05-08 02:59:31,713 - INFO - [machine-2-7.txt] mode=value_times_range, all=None, threshold=6.0, P=0.2217, R=0.5465, F1=0.3154
2025-05-08 02:59:31,714 - INFO - [machine-2-7.txt] mode=value_times_range, all=None, threshold=6.5, P=0.2249, R=0.5465, F1=0.3186
2025-05-08 02:59:31,714 - INFO - [machine-2-7.txt] mode=value_times_range, all=None, threshold=7.0, P=0.2282, R=0.5465, F1=0.3219
2025-05-08 02:59:31,799 - INFO - [machine-3-6] Starting grid search...
2025-05-08 03:00:13,465 - INFO - [machine-3-6.txt] mode=value_times_range, all=None, threshold=0.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:00:14,124 - INFO - [machine-3-6.txt] mode=value_times_range, all=None, threshold=0.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:00:14,125 - INFO - [machine-3-6.txt] mode=value_times_range, all=None, threshold=1.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:00:14,125 - INFO - [machine-3-6.txt] mode=value_times_range, all=None, threshold=1.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:00:14,125 - INFO - [machine-3-6.txt] mode=value_times_range, all=None, threshold=2.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:00:14,236 - INFO - [machine-3-6.txt] mode=value_times_range, all=None, threshold=2.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:00:14,237 - INFO - [machine-3-6.txt] mode=value_times_range, all=None, threshold=3.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:00:14,237 - INFO - [machine-3-6.txt] mode=value_times_range, all=None, threshold=3.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:00:14,237 - INFO - [machine-3-6.txt] mode=value_times_range, all=None, threshold=4.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:00:14,237 - INFO - [machine-3-6.txt] mode=value_times_range, all=None, threshold=4.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:00:14,238 - INFO - [machine-3-6.txt] mode=value_times_range, all=None, threshold=5.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:00:14,238 - INFO - [machine-3-6.txt] mode=value_times_range, all=None, threshold=5.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:00:14,238 - INFO - [machine-3-6.txt] mode=value_times_range, all=None, threshold=6.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:00:14,238 - INFO - [machine-3-6.txt] mode=value_times_range, all=None, threshold=6.5, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:00:14,238 - INFO - [machine-3-6.txt] mode=value_times_range, all=None, threshold=7.0, P=0.2867, R=0.9130, F1=0.4364
2025-05-08 03:00:14,308 - INFO - [machine-3-3] Starting grid search...
2025-05-08 03:00:49,727 - INFO - [machine-3-3.txt] mode=value_times_range, all=None, threshold=0.0, P=0.1738, R=0.3675, F1=0.2360
2025-05-08 03:00:50,265 - INFO - [machine-3-3.txt] mode=value_times_range, all=None, threshold=0.5, P=0.1749, R=0.3614, F1=0.2358
2025-05-08 03:00:50,265 - INFO - [machine-3-3.txt] mode=value_times_range, all=None, threshold=1.0, P=0.1770, R=0.3614, F1=0.2376
2025-05-08 03:00:50,297 - INFO - [machine-3-3.txt] mode=value_times_range, all=None, threshold=1.5, P=0.1775, R=0.3614, F1=0.2381
2025-05-08 03:00:50,297 - INFO - [machine-3-3.txt] mode=value_times_range, all=None, threshold=2.0, P=0.1775, R=0.3614, F1=0.2381
2025-05-08 03:00:50,297 - INFO - [machine-3-3.txt] mode=value_times_range, all=None, threshold=2.5, P=0.1780, R=0.3614, F1=0.2386
2025-05-08 03:00:50,297 - INFO - [machine-3-3.txt] mode=value_times_range, all=None, threshold=3.0, P=0.1813, R=0.3614, F1=0.2414
2025-05-08 03:00:50,496 - INFO - [machine-3-3.txt] mode=value_times_range, all=None, threshold=3.5, P=0.1824, R=0.3614, F1=0.2424
2025-05-08 03:00:50,497 - INFO - [machine-3-3.txt] mode=value_times_range, all=None, threshold=4.0, P=0.1824, R=0.3614, F1=0.2424
2025-05-08 03:00:50,497 - INFO - [machine-3-3.txt] mode=value_times_range, all=None, threshold=4.5, P=0.1804, R=0.3554, F1=0.2394
2025-05-08 03:00:50,945 - INFO - [machine-3-3.txt] mode=value_times_range, all=None, threshold=5.0, P=0.1804, R=0.3554, F1=0.2394
2025-05-08 03:00:50,946 - INFO - [machine-3-3.txt] mode=value_times_range, all=None, threshold=5.5, P=0.1810, R=0.3554, F1=0.2398
2025-05-08 03:00:50,947 - INFO - [machine-3-3.txt] mode=value_times_range, all=None, threshold=6.0, P=0.1810, R=0.3554, F1=0.2398
2025-05-08 03:00:50,947 - INFO - [machine-3-3.txt] mode=value_times_range, all=None, threshold=6.5, P=0.1827, R=0.3554, F1=0.2413
2025-05-08 03:00:50,947 - INFO - [machine-3-3.txt] mode=value_times_range, all=None, threshold=7.0, P=0.1855, R=0.3554, F1=0.2438
2025-05-08 03:00:51,030 - INFO - [machine-3-4] Starting grid search...
2025-05-08 03:01:25,231 - INFO - [machine-3-4.txt] mode=value_times_range, all=None, threshold=0.0, P=0.1340, R=0.8667, F1=0.2321
2025-05-08 03:01:25,584 - INFO - [machine-3-4.txt] mode=value_times_range, all=None, threshold=0.5, P=0.1347, R=0.8667, F1=0.2332
2025-05-08 03:01:25,584 - INFO - [machine-3-4.txt] mode=value_times_range, all=None, threshold=1.0, P=0.1347, R=0.8667, F1=0.2332
2025-05-08 03:01:25,584 - INFO - [machine-3-4.txt] mode=value_times_range, all=None, threshold=1.5, P=0.1347, R=0.8667, F1=0.2332
2025-05-08 03:01:25,585 - INFO - [machine-3-4.txt] mode=value_times_range, all=None, threshold=2.0, P=0.1347, R=0.8667, F1=0.2332
2025-05-08 03:01:26,066 - INFO - [machine-3-4.txt] mode=value_times_range, all=None, threshold=2.5, P=0.1405, R=0.8667, F1=0.2419
2025-05-08 03:01:26,067 - INFO - [machine-3-4.txt] mode=value_times_range, all=None, threshold=3.0, P=0.1429, R=0.8667, F1=0.2453
2025-05-08 03:01:26,067 - INFO - [machine-3-4.txt] mode=value_times_range, all=None, threshold=3.5, P=0.1444, R=0.8667, F1=0.2476
2025-05-08 03:01:26,067 - INFO - [machine-3-4.txt] mode=value_times_range, all=None, threshold=4.0, P=0.1444, R=0.8667, F1=0.2476
2025-05-08 03:01:26,067 - INFO - [machine-3-4.txt] mode=value_times_range, all=None, threshold=4.5, P=0.1397, R=0.8333, F1=0.2392
2025-05-08 03:01:26,067 - INFO - [machine-3-4.txt] mode=value_times_range, all=None, threshold=5.0, P=0.1397, R=0.8333, F1=0.2392
2025-05-08 03:01:26,068 - INFO - [machine-3-4.txt] mode=value_times_range, all=None, threshold=5.5, P=0.1420, R=0.8333, F1=0.2427
2025-05-08 03:01:26,068 - INFO - [machine-3-4.txt] mode=value_times_range, all=None, threshold=6.0, P=0.1429, R=0.8333, F1=0.2439
2025-05-08 03:01:26,068 - INFO - [machine-3-4.txt] mode=value_times_range, all=None, threshold=6.5, P=0.1429, R=0.8333, F1=0.2439
2025-05-08 03:01:26,068 - INFO - [machine-3-4.txt] mode=value_times_range, all=None, threshold=7.0, P=0.1429, R=0.8333, F1=0.2439
2025-05-08 03:01:26,150 - INFO - [machine-3-8] Starting grid search...
2025-05-08 03:02:06,670 - INFO - [machine-3-8.txt] mode=value_times_range, all=None, threshold=0.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 03:02:06,671 - INFO - [machine-3-8.txt] mode=value_times_range, all=None, threshold=0.5, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 03:02:06,671 - INFO - [machine-3-8.txt] mode=value_times_range, all=None, threshold=1.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 03:02:06,693 - INFO - [machine-3-8.txt] mode=value_times_range, all=None, threshold=1.5, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 03:02:06,744 - INFO - [machine-3-8.txt] mode=value_times_range, all=None, threshold=2.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 03:02:06,745 - INFO - [machine-3-8.txt] mode=value_times_range, all=None, threshold=2.5, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 03:02:06,745 - INFO - [machine-3-8.txt] mode=value_times_range, all=None, threshold=3.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 03:02:06,745 - INFO - [machine-3-8.txt] mode=value_times_range, all=None, threshold=3.5, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 03:02:06,862 - INFO - [machine-3-8.txt] mode=value_times_range, all=None, threshold=4.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 03:02:06,862 - INFO - [machine-3-8.txt] mode=value_times_range, all=None, threshold=4.5, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 03:02:06,863 - INFO - [machine-3-8.txt] mode=value_times_range, all=None, threshold=5.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 03:02:06,863 - INFO - [machine-3-8.txt] mode=value_times_range, all=None, threshold=5.5, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 03:02:06,863 - INFO - [machine-3-8.txt] mode=value_times_range, all=None, threshold=6.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 03:02:06,863 - INFO - [machine-3-8.txt] mode=value_times_range, all=None, threshold=6.5, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 03:02:07,779 - INFO - [machine-3-8.txt] mode=value_times_range, all=None, threshold=7.0, P=0.3235, R=0.9821, F1=0.4867
2025-05-08 03:02:07,874 - INFO - [machine-2-1] Starting grid search...
2025-05-08 03:02:41,791 - INFO - [machine-2-1.txt] mode=value_times_range, all=None, threshold=0.0, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 03:02:41,792 - INFO - [machine-2-1.txt] mode=value_times_range, all=None, threshold=0.5, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 03:02:42,460 - INFO - [machine-2-1.txt] mode=value_times_range, all=None, threshold=1.0, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 03:02:42,461 - INFO - [machine-2-1.txt] mode=value_times_range, all=None, threshold=1.5, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 03:02:42,461 - INFO - [machine-2-1.txt] mode=value_times_range, all=None, threshold=2.0, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 03:02:42,461 - INFO - [machine-2-1.txt] mode=value_times_range, all=None, threshold=2.5, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 03:02:42,461 - INFO - [machine-2-1.txt] mode=value_times_range, all=None, threshold=3.0, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 03:02:42,461 - INFO - [machine-2-1.txt] mode=value_times_range, all=None, threshold=3.5, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 03:02:42,461 - INFO - [machine-2-1.txt] mode=value_times_range, all=None, threshold=4.0, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 03:02:43,295 - INFO - [machine-2-1.txt] mode=value_times_range, all=None, threshold=4.5, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 03:02:43,295 - INFO - [machine-2-1.txt] mode=value_times_range, all=None, threshold=5.0, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 03:02:43,295 - INFO - [machine-2-1.txt] mode=value_times_range, all=None, threshold=5.5, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 03:02:43,296 - INFO - [machine-2-1.txt] mode=value_times_range, all=None, threshold=6.0, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 03:02:43,296 - INFO - [machine-2-1.txt] mode=value_times_range, all=None, threshold=6.5, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 03:02:43,296 - INFO - [machine-2-1.txt] mode=value_times_range, all=None, threshold=7.0, P=0.2248, R=0.9886, F1=0.3663
2025-05-08 03:02:43,386 - INFO - [machine-1-6] Starting grid search...
2025-05-08 03:03:27,720 - INFO - [machine-1-6.txt] mode=value_times_range, all=None, threshold=0.0, P=0.3810, R=0.9422, F1=0.5426
2025-05-08 03:03:27,721 - INFO - [machine-1-6.txt] mode=value_times_range, all=None, threshold=0.5, P=0.3826, R=0.9422, F1=0.5442
2025-05-08 03:03:27,721 - INFO - [machine-1-6.txt] mode=value_times_range, all=None, threshold=1.0, P=0.3826, R=0.9422, F1=0.5442
2025-05-08 03:03:27,722 - INFO - [machine-1-6.txt] mode=value_times_range, all=None, threshold=1.5, P=0.3831, R=0.9422, F1=0.5447
2025-05-08 03:03:27,722 - INFO - [machine-1-6.txt] mode=value_times_range, all=None, threshold=2.0, P=0.3837, R=0.9422, F1=0.5453
2025-05-08 03:03:27,722 - INFO - [machine-1-6.txt] mode=value_times_range, all=None, threshold=2.5, P=0.3869, R=0.9422, F1=0.5485
2025-05-08 03:03:27,722 - INFO - [machine-1-6.txt] mode=value_times_range, all=None, threshold=3.0, P=0.3932, R=0.9388, F1=0.5542
2025-05-08 03:03:27,722 - INFO - [machine-1-6.txt] mode=value_times_range, all=None, threshold=3.5, P=0.3945, R=0.9354, F1=0.5550
2025-05-08 03:03:27,722 - INFO - [machine-1-6.txt] mode=value_times_range, all=None, threshold=4.0, P=0.3945, R=0.9354, F1=0.5550
2025-05-08 03:03:27,722 - INFO - [machine-1-6.txt] mode=value_times_range, all=None, threshold=4.5, P=0.3957, R=0.9354, F1=0.5561
2025-05-08 03:03:27,722 - INFO - [machine-1-6.txt] mode=value_times_range, all=None, threshold=5.0, P=0.3974, R=0.9354, F1=0.5578
2025-05-08 03:03:27,722 - INFO - [machine-1-6.txt] mode=value_times_range, all=None, threshold=5.5, P=0.3991, R=0.9354, F1=0.5595
2025-05-08 03:03:27,723 - INFO - [machine-1-6.txt] mode=value_times_range, all=None, threshold=6.0, P=0.4054, R=0.9252, F1=0.5637
2025-05-08 03:03:27,723 - INFO - [machine-1-6.txt] mode=value_times_range, all=None, threshold=6.5, P=0.4084, R=0.9252, F1=0.5667
2025-05-08 03:03:27,723 - INFO - [machine-1-6.txt] mode=value_times_range, all=None, threshold=7.0, P=0.4097, R=0.9184, F1=0.5666
2025-05-08 03:03:27,799 - INFO - [machine-2-2] Starting grid search...
2025-05-08 03:04:04,013 - INFO - [machine-2-2.txt] mode=value_times_range, all=None, threshold=0.0, P=0.2405, R=0.8507, F1=0.3750
2025-05-08 03:04:04,394 - INFO - [machine-2-2.txt] mode=value_times_range, all=None, threshold=0.5, P=0.2405, R=0.8507, F1=0.3750
2025-05-08 03:04:04,394 - INFO - [machine-2-2.txt] mode=value_times_range, all=None, threshold=1.0, P=0.2405, R=0.8507, F1=0.3750
2025-05-08 03:04:04,394 - INFO - [machine-2-2.txt] mode=value_times_range, all=None, threshold=1.5, P=0.2405, R=0.8507, F1=0.3750
2025-05-08 03:04:04,394 - INFO - [machine-2-2.txt] mode=value_times_range, all=None, threshold=2.0, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 03:04:04,394 - INFO - [machine-2-2.txt] mode=value_times_range, all=None, threshold=2.5, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 03:04:04,394 - INFO - [machine-2-2.txt] mode=value_times_range, all=None, threshold=3.0, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 03:04:04,425 - INFO - [machine-2-2.txt] mode=value_times_range, all=None, threshold=3.5, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 03:04:04,425 - INFO - [machine-2-2.txt] mode=value_times_range, all=None, threshold=4.0, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 03:04:04,587 - INFO - [machine-2-2.txt] mode=value_times_range, all=None, threshold=4.5, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 03:04:04,587 - INFO - [machine-2-2.txt] mode=value_times_range, all=None, threshold=5.0, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 03:04:04,587 - INFO - [machine-2-2.txt] mode=value_times_range, all=None, threshold=5.5, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 03:04:05,524 - INFO - [machine-2-2.txt] mode=value_times_range, all=None, threshold=6.0, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 03:04:05,524 - INFO - [machine-2-2.txt] mode=value_times_range, all=None, threshold=6.5, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 03:04:05,525 - INFO - [machine-2-2.txt] mode=value_times_range, all=None, threshold=7.0, P=0.2415, R=0.8507, F1=0.3762
2025-05-08 03:04:05,613 - INFO - [machine-2-8] Starting grid search...
2025-05-08 03:04:36,402 - INFO - [machine-2-8.txt] mode=value_times_range, all=None, threshold=0.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 03:04:37,182 - INFO - [machine-2-8.txt] mode=value_times_range, all=None, threshold=0.5, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 03:04:37,489 - INFO - [machine-2-8.txt] mode=value_times_range, all=None, threshold=1.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 03:04:37,490 - INFO - [machine-2-8.txt] mode=value_times_range, all=None, threshold=1.5, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 03:04:37,490 - INFO - [machine-2-8.txt] mode=value_times_range, all=None, threshold=2.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 03:04:37,516 - INFO - [machine-2-8.txt] mode=value_times_range, all=None, threshold=2.5, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 03:04:37,516 - INFO - [machine-2-8.txt] mode=value_times_range, all=None, threshold=3.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 03:04:37,516 - INFO - [machine-2-8.txt] mode=value_times_range, all=None, threshold=3.5, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 03:04:37,516 - INFO - [machine-2-8.txt] mode=value_times_range, all=None, threshold=4.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 03:04:37,648 - INFO - [machine-2-8.txt] mode=value_times_range, all=None, threshold=4.5, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 03:04:37,649 - INFO - [machine-2-8.txt] mode=value_times_range, all=None, threshold=5.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 03:04:37,649 - INFO - [machine-2-8.txt] mode=value_times_range, all=None, threshold=5.5, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 03:04:37,649 - INFO - [machine-2-8.txt] mode=value_times_range, all=None, threshold=6.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 03:04:37,649 - INFO - [machine-2-8.txt] mode=value_times_range, all=None, threshold=6.5, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 03:04:37,649 - INFO - [machine-2-8.txt] mode=value_times_range, all=None, threshold=7.0, P=1.0000, R=0.9118, F1=0.9538
2025-05-08 03:04:37,735 - INFO - [machine-3-11] Starting grid search...
2025-05-08 03:05:12,434 - INFO - [machine-3-11.txt] mode=value_times_range, all=None, threshold=0.0, P=0.5256, R=0.9111, F1=0.6667
2025-05-08 03:05:13,576 - INFO - [machine-3-11.txt] mode=value_times_range, all=None, threshold=0.5, P=0.5256, R=0.9111, F1=0.6667
2025-05-08 03:05:13,577 - INFO - [machine-3-11.txt] mode=value_times_range, all=None, threshold=1.0, P=0.5256, R=0.9111, F1=0.6667
2025-05-08 03:05:13,577 - INFO - [machine-3-11.txt] mode=value_times_range, all=None, threshold=1.5, P=0.5256, R=0.9111, F1=0.6667
2025-05-08 03:05:13,577 - INFO - [machine-3-11.txt] mode=value_times_range, all=None, threshold=2.0, P=0.5256, R=0.9111, F1=0.6667
