2025-05-07 20:10:21,277 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='machine', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='corr_threshold', score_modes=['deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/machine/neighbor_corr_threshold', visual_dir='./visual/machine/neighbor_corr_threshold', num_workers=36, gif_duration=500)
2025-05-07 20:10:21,277 - INFO - 当前评分模式: ['deviation']
2025-05-07 20:10:21,277 - INFO - 
==================================================
2025-05-07 20:10:21,277 - INFO - 开始执行网格搜索...
2025-05-07 20:10:21,284 - INFO - [machine-1-1] Starting grid search...
2025-05-07 20:11:12,387 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.0, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:12:24,281 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.1, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:12:24,281 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.1, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:12:24,281 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.1, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:12:24,281 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.1, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:12:24,282 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.1, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:12:24,282 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.1, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:12:24,282 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.1, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:12:33,553 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:12:33,553 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:12:37,875 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:12:37,875 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:12:37,875 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:12:37,875 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:12:46,534 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:12:58,632 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:29,240 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:29,241 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:29,241 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:29,241 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:29,241 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:29,241 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:29,241 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:29,241 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:29,241 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:29,241 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:29,241 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,203 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,204 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,204 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,204 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,204 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,204 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,204 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,204 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,204 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,204 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,204 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,204 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,205 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,205 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,205 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,205 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,205 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,205 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:31,205 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:35,387 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:35,387 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:58,386 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:58,387 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:13:58,387 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:12,172 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:12,173 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.2, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:12,173 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.3, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:12,173 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.3, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:12,173 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.3, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:24,081 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.3, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:24,420 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.3, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:24,421 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.3, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:24,421 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.3, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:24,421 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.3, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:37,670 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.3, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:39,238 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.3, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:39,239 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.3, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:39,239 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.3, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:39,239 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.3, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:39,239 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.3, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:39,239 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.3, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:39,239 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:39,239 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:40,220 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:40,221 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:40,221 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:40,221 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:40,221 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:40,221 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:40,221 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:40,221 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:40,221 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:43,628 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:45,902 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:45,902 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:45,902 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:54,579 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:54,580 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:54,580 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:14:57,100 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:19,420 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:19,421 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:19,421 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:19,421 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:19,421 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:25,201 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:25,202 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:25,202 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:26,023 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:26,024 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:26,024 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:26,928 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=0.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:26,929 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=0.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:38,027 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=1.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:38,028 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=1.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:38,028 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=2.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:38,028 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=2.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:43,764 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=3.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:43,765 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=3.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:46,272 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=4.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:53,750 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=4.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:53,751 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=5.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:53,751 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=5.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:56,605 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=6.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:15:56,606 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=6.5, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:16:02,010 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.4, threshold=7.0, P=0.4333, R=0.8228, F1=0.5677
2025-05-07 20:16:02,011 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.5, threshold=0.0, P=0.4385, R=0.7215, F1=0.5455
2025-05-07 20:16:02,011 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.5, threshold=0.5, P=0.4385, R=0.7215, F1=0.5455
2025-05-07 20:16:02,011 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.5, threshold=1.0, P=0.4385, R=0.7215, F1=0.5455
2025-05-07 20:16:02,011 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.5, threshold=1.5, P=0.4385, R=0.7215, F1=0.5455
2025-05-07 20:16:02,011 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.5, threshold=2.0, P=0.4453, R=0.7215, F1=0.5507
2025-05-07 20:16:02,011 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.5, threshold=2.5, P=0.4524, R=0.7215, F1=0.5561
2025-05-07 20:16:02,011 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.5, threshold=3.0, P=0.4524, R=0.7215, F1=0.5561
2025-05-07 20:16:02,011 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.5, threshold=3.5, P=0.4672, R=0.7215, F1=0.5672
2025-05-07 20:16:02,011 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.5, threshold=4.0, P=0.4672, R=0.7215, F1=0.5672
2025-05-07 20:16:02,011 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.5, threshold=4.5, P=0.4672, R=0.7215, F1=0.5672
2025-05-07 20:16:02,011 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.5, threshold=5.0, P=0.4750, R=0.7215, F1=0.5729
2025-05-07 20:16:02,011 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.5, threshold=5.5, P=0.4831, R=0.7215, F1=0.5787
2025-05-07 20:16:10,317 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.5, threshold=6.0, P=0.4831, R=0.7215, F1=0.5787
2025-05-07 20:16:23,446 - INFO - [machine-1-1.txt] mode=deviation, corr_threshold=0.5, threshold=6.5, P=0.4831, R=0.7215, F1=0.5787
